grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.002,0.9,0.1,3,[50],[50],0.0986,811,53.644226665750004,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,1,0.1,3,[50],[50],0.0984,825,53.551975151110575,0.0009,1,25.0,100.0,29.154759474226502
101,500,1,0.002,1,0.1,3,[50],[50],0.0995,820,53.21847054323001,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,1,0.1,3,[50],[50],0.1008,834,52.920987485411985,0.0009,1,25.0,125.0,40.0
101,500,1,0.04,0.3,0.1,3,[50],[50],0.0951,801,54.6274370895546,0.0111,1,25.0,75.0,8.821054297626466
101,500,1,0.04,0.3,0.1,3,[50],[50],0.1015,832,52.61614057960313,0.0114,1,25.0,75.0,9.82344135219425
101,500,1,0.04,0.3,0.1,3,[50],[50],0.1008,797,52.73885862035841,0.011,1,25.0,75.0,8.860022573334675
101,500,1,0.04,0.4,0.1,3,[50],[50],0.1026,833,52.28196619320848,0.0119,1,25.0,100.0,11.989779224151969
101,500,1,0.04,0.4,0.1,3,[50],[50],0.1007,807,52.90781972260137,0.0121,1,25.0,100.0,12.975586556515998
101,500,1,0.04,0.4,0.1,3,[50],[50],0.0968,796,54.18484036238982,0.0119,1,25.0,100.0,13.63409837021823
101,500,1,0.04,0.5,0.1,3,[50],[50],0.1015,813,52.665044603015154,0.0116,1,25.0,50.0,9.604686356149273
101,500,1,0.04,0.5,0.1,3,[50],[50],0.0944,777,54.86731129702726,0.0125,1,25.0,75.0,13.877405721246554
101,500,1,0.04,0.5,0.1,3,[50],[50],0.0955,764,54.496562284780794,0.0119,1,25.0,75.0,11.678342685233115
101,500,1,0.04,0.6,0.1,3,[50],[50],0.0956,784,54.57769205263826,0.0118,1,25.0,75.0,11.295802570395011
101,500,1,0.04,0.6,0.1,3,[50],[50],0.095,775,54.76391596317383,0.0132,1,25.0,125.0,20.116846174288852
101,500,1,0.04,0.6,0.1,3,[50],[50],0.0943,791,54.83540517585646,0.0126,1,25.0,100.0,17.111538837832818
101,500,1,0.04,0.7,0.1,3,[50],[50],0.0997,803,53.157407880216326,0.0128,1,25.0,100.0,17.284191384572534
101,500,1,0.04,0.7,0.1,3,[50],[50],0.1009,844,52.784480668888044,0.012,1,25.0,75.0,12.346498924098936
101,500,1,0.04,0.7,0.1,3,[50],[50],0.0978,781,53.80145295162166,0.0141,1,25.0,125.0,21.103618601794118
101,500,1,0.04,0.8,0.1,3,[50],[50],0.0981,810,53.668029812447756,0.0143,1,25.0,100.0,18.772757649364895
101,500,1,0.04,0.8,0.1,3,[50],[50],0.0969,807,54.12945284804385,0.0144,1,25.0,150.0,19.670549242385597
101,500,1,0.04,0.8,0.1,3,[50],[50],0.1,806,53.10284970302288,0.014,1,25.0,125.0,18.60970516934139
101,500,1,0.04,0.9,0.1,3,[50],[50],0.0995,820,53.28131908228937,0.0135,1,25.0,100.0,16.01467932635823
101,500,1,0.04,0.9,0.1,3,[50],[50],0.1031,844,52.08917734981178,0.0149,1,25.0,100.0,19.410774385513072
101,500,1,0.04,0.9,0.1,3,[50],[50],0.0991,822,53.39220563516327,0.0142,1,25.0,100.0,18.993121339273902
101,500,1,0.04,1,0.1,3,[50],[50],0.1017,821,52.593242018539414,0.016,1,25.0,150.0,23.28947311259661
101,500,1,0.04,1,0.1,3,[50],[50],0.0939,780,55.01238331961238,0.0154,1,25.0,125.0,24.422639124529468
101,500,1,0.04,1,0.1,3,[50],[50],0.101,835,52.78090825328441,0.0151,1,25.0,125.0,23.416805710776835
101,500,1,0.0004,0.3,0.2,3,[50],[50],0.1908,1215,29.692699041481497,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.3,0.2,3,[50],[50],0.1924,1216,29.302121424500307,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.3,0.2,3,[50],[50],0.1916,1246,29.545462438019975,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.2,3,[50],[50],0.1982,1250,28.16510833328397,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.4,0.2,3,[50],[50],0.1973,1238,28.410348736185142,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.4,0.2,3,[50],[50],0.1947,1202,28.87769864898423,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,0.5,0.2,3,[50],[50],0.198,1248,28.25016592150067,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.2,3,[50],[50],0.1937,1204,29.13120970970179,0.0006,1,150.0,150.0,0.0
101,500,1,0.0004,0.5,0.2,3,[50],[50],0.1946,1251,28.881044336038343,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.2,3,[50],[50],0.2002,1196,27.751876047537515,0.0001,1,25.0,25.0,0.0
