grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.002,0.8,0.1,3,"[33,66]","[33,66]",0.0965,785,54.22752419807389,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.8,0.1,3,"[33,66]","[33,66]",0.102,809,52.52133758311823,0.0008,1,50.0,50.0,12.24744871391589
101,500,1,0.002,0.8,0.1,3,"[33,66]","[33,66]",0.0926,754,55.36476087987786,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.9,0.1,3,"[33,66]","[33,66]",0.0964,793,54.24865598067279,0.001,1,25.0,100.0,31.622776601683793
101,500,1,0.002,0.9,0.1,3,"[33,66]","[33,66]",0.0902,761,56.213069159478394,0.0008,1,25.0,100.0,30.0
101,500,1,0.002,0.9,0.1,3,"[33,66]","[33,66]",0.0979,800,53.78730453854713,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,1,0.1,3,"[33,66]","[33,66]",0.093,781,55.44269688023908,0.001,1,50.0,75.0,15.811388300841896
101,500,1,0.002,1,0.1,3,"[33,66]","[33,66]",0.0945,796,54.82833181817477,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,1,0.1,3,"[33,66]","[33,66]",0.093,787,55.322346178888424,0.0006,1,25.0,50.0,10.0
101,500,1,0.04,0.3,0.1,3,"[33,66]","[33,66]",0.0983,784,53.610566647979056,0.0108,1,25.0,75.0,9.91514642354193
101,500,1,0.04,0.3,0.1,3,"[33,66]","[33,66]",0.0951,804,54.71701694787099,0.011,1,25.0,75.0,8.860022573334675
101,500,1,0.04,0.3,0.1,3,"[33,66]","[33,66]",0.0934,773,55.25580586884047,0.0106,1,25.0,50.0,5.882352941176471
101,500,1,0.04,0.4,0.1,3,"[33,66]","[33,66]",0.0949,779,54.78717613422774,0.0124,1,25.0,125.0,16.054594358002323
101,500,1,0.04,0.4,0.1,3,"[33,66]","[33,66]",0.0982,815,53.58181184165053,0.0111,1,25.0,75.0,9.781998773256925
101,500,1,0.04,0.4,0.1,3,"[33,66]","[33,66]",0.0972,801,53.96157501958507,0.0113,1,25.0,100.0,11.627135791132664
101,500,1,0.04,0.5,0.1,3,"[33,66]","[33,66]",0.1001,819,53.045558585361384,0.0118,1,25.0,75.0,11.388860892706749
101,500,1,0.04,0.5,0.1,3,"[33,66]","[33,66]",0.0968,814,54.09152369224459,0.0124,1,25.0,75.0,13.753909653527648
101,500,1,0.04,0.5,0.1,3,"[33,66]","[33,66]",0.0899,759,56.46067526229947,0.0117,1,25.0,75.0,12.298783496854467
101,500,1,0.04,0.6,0.1,3,"[33,66]","[33,66]",0.0937,799,55.24388344250384,0.0118,1,25.0,75.0,11.726039399558575
101,500,1,0.04,0.6,0.1,3,"[33,66]","[33,66]",0.0973,791,53.97883983121608,0.0129,1,25.0,100.0,16.265352963761824
101,500,1,0.04,0.6,0.1,3,"[33,66]","[33,66]",0.0927,784,55.4523962319531,0.0127,1,25.0,75.0,14.07127460236012
101,500,1,0.04,0.7,0.1,3,"[33,66]","[33,66]",0.094,760,55.05027392700909,0.0132,1,25.0,125.0,19.35763841189817
101,500,1,0.04,0.7,0.1,3,"[33,66]","[33,66]",0.0946,802,54.78243601871937,0.0128,1,25.0,75.0,13.72767839700044
101,500,1,0.04,0.7,0.1,3,"[33,66]","[33,66]",0.0971,779,54.0875543792187,0.0146,1,25.0,175.0,23.84716964337697
101,500,1,0.04,0.8,0.1,3,"[33,66]","[33,66]",0.1032,840,52.15816006641711,0.015,1,25.0,150.0,25.028167643098097
101,500,1,0.04,0.8,0.1,3,"[33,66]","[33,66]",0.0984,809,53.58882546009425,0.0134,1,25.0,150.0,19.012089174898954
101,500,1,0.04,0.8,0.1,3,"[33,66]","[33,66]",0.099,812,53.40720592058239,0.0139,1,25.0,100.0,17.205812524298278
101,500,1,0.04,0.9,0.1,3,"[33,66]","[33,66]",0.0942,764,54.976568906952195,0.0159,1,25.0,150.0,25.38788397021403
101,500,1,0.04,0.9,0.1,3,"[33,66]","[33,66]",0.0979,791,53.77393713124988,0.0148,1,25.0,175.0,24.68686047989315
101,500,1,0.04,0.9,0.1,3,"[33,66]","[33,66]",0.0956,795,54.52112345073539,0.0143,1,25.0,100.0,20.564879375885322
101,500,1,0.04,1,0.1,3,"[33,66]","[33,66]",0.1007,833,52.83500060301953,0.0146,1,25.0,225.0,26.11990841355474
101,500,1,0.04,1,0.1,3,"[33,66]","[33,66]",0.0925,775,55.55678819922336,0.0141,1,25.0,150.0,20.51808778083956
101,500,1,0.04,1,0.1,3,"[33,66]","[33,66]",0.0947,771,54.81309743031848,0.0143,1,25.0,125.0,19.960071638727776
101,500,1,0.0004,0.3,0.2,3,"[33,66]","[33,66]",0.1923,1217,29.426224859879856,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.2,3,"[33,66]","[33,66]",0.188,1223,30.196029207528184,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.2,3,"[33,66]","[33,66]",0.1866,1170,30.532973896268643,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.2,3,"[33,66]","[33,66]",0.1872,1183,30.406244414143803,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.2,3,"[33,66]","[33,66]",0.1918,1193,29.41500507750774,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.2,3,"[33,66]","[33,66]",0.1897,1193,29.87136957714843,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.2,3,"[33,66]","[33,66]",0.1875,1179,30.363298910221882,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.2,3,"[33,66]","[33,66]",0.189,1178,30.125039598228476,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.2,3,"[33,66]","[33,66]",0.1945,1175,28.948506452299462,0.0004,1,100.0,100.0,0.0
101,500,1,0.0004,0.6,0.2,3,"[33,66]","[33,66]",0.1992,1232,27.93180261273964,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.2,3,"[33,66]","[33,66]",0.1915,1197,29.55175859865151,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.2,3,"[33,66]","[33,66]",0.1892,1192,30.001435040452705,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.2,3,"[33,66]","[33,66]",0.1894,1211,29.972413308870884,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.7,0.2,3,"[33,66]","[33,66]",0.1904,1223,29.801133302081737,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.2,3,"[33,66]","[33,66]",0.1945,1235,29.006437058724423,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.8,0.2,3,"[33,66]","[33,66]",0.1932,1242,29.205217722634536,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.8,0.2,3,"[33,66]","[33,66]",0.1933,1190,29.202783705733093,0.0004,1,100.0,100.0,0.0
101,500,1,0.0004,0.8,0.2,3,"[33,66]","[33,66]",0.1885,1212,30.22774398867544,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,0.9,0.2,3,"[33,66]","[33,66]",0.1937,1218,29.12390762535718,0.0005,1,125.0,125.0,0.0
101,500,1,0.0004,0.9,0.2,3,"[33,66]","[33,66]",0.1967,1198,28.560288121744094,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,0.9,0.2,3,"[33,66]","[33,66]",0.1953,1233,28.783105479083726,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,1,0.2,3,"[33,66]","[33,66]",0.1897,1211,29.961944755699076,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,1,0.2,3,"[33,66]","[33,66]",0.188,1181,30.289886797973477,0.0005,1,125.0,125.0,0.0
101,500,1,0.0004,1,0.2,3,"[33,66]","[33,66]",0.1894,1221,30.00326465402199,0.0005,1,125.0,125.0,0.0
101,500,1,0.002,0.3,0.2,3,"[33,66]","[33,66]",0.2029,1259,27.23663717599889,0.0008,1,25.0,75.0,20.0
101,500,1,0.002,0.3,0.2,3,"[33,66]","[33,66]",0.187,1194,30.49066778171059,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.3,0.2,3,"[33,66]","[33,66]",0.1945,1227,28.930121602865544,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.4,0.2,3,"[33,66]","[33,66]",0.1866,1193,30.532286942240205,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.4,0.2,3,"[33,66]","[33,66]",0.1894,1239,29.98815648412212,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.4,0.2,3,"[33,66]","[33,66]",0.1887,1247,30.095667812539894,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.5,0.2,3,"[33,66]","[33,66]",0.1917,1204,29.514320884079325,0.0007,1,25.0,50.0,12.24744871391589
101,500,1,0.002,0.5,0.2,3,"[33,66]","[33,66]",0.1933,1234,29.169235933751036,0.0007,1,25.0,50.0,12.24744871391589
101,500,1,0.002,0.5,0.2,3,"[33,66]","[33,66]",0.1962,1232,28.586643961662496,0.0009,1,50.0,75.0,18.708286933869708
101,500,1,0.002,0.6,0.2,3,"[33,66]","[33,66]",0.1941,1261,28.988710422196682,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.6,0.2,3,"[33,66]","[33,66]",0.1964,1210,28.49471743308899,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.6,0.2,3,"[33,66]","[33,66]",0.196,1219,28.627621039583538,0.0011,1,50.0,125.0,36.742346141747674
101,500,1,0.002,0.7,0.2,3,"[33,66]","[33,66]",0.195,1187,28.854523828985467,0.0009,1,25.0,100.0,29.154759474226502
101,500,1,0.002,0.7,0.2,3,"[33,66]","[33,66]",0.1915,1194,29.56309463294524,0.0008,1,25.0,75.0,20.0
101,500,1,0.002,0.7,0.2,3,"[33,66]","[33,66]",0.1932,1200,29.20881049656169,0.0009,1,50.0,75.0,18.708286933869708
101,500,1,0.002,0.8,0.2,3,"[33,66]","[33,66]",0.1956,1203,28.779281569141336,0.0007,1,25.0,50.0,12.24744871391589
101,500,1,0.002,0.8,0.2,3,"[33,66]","[33,66]",0.196,1204,28.644862358531174,0.001,1,50.0,100.0,27.386127875258307
101,500,1,0.002,0.8,0.2,3,"[33,66]","[33,66]",0.1903,1210,29.901040491988397,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.9,0.2,3,"[33,66]","[33,66]",0.1841,1165,31.14655180003402,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.9,0.2,3,"[33,66]","[33,66]",0.1989,1219,28.06275779202858,0.0014,1,25.0,200.0,67.82329983125268
101,500,1,0.002,0.9,0.2,3,"[33,66]","[33,66]",0.1915,1222,29.54320585131568,0.0008,1,25.0,100.0,30.0
101,500,1,0.002,1,0.2,3,"[33,66]","[33,66]",0.1871,1217,30.44195545526902,0.0015,1,100.0,125.0,41.83300132670378
101,500,1,0.002,1,0.2,3,"[33,66]","[33,66]",0.1934,1206,29.10573252547527,0.0019,1,100.0,125.0,18.708286933869708
101,500,1,0.002,1,0.2,3,"[33,66]","[33,66]",0.188,1212,30.310906223439872,0.0014,1,75.0,150.0,45.8257569495584
101,500,1,0.04,0.3,0.2,3,"[33,66]","[33,66]",0.191,1225,29.656527099852536,0.013,1,25.0,125.0,16.474813160686868
101,500,1,0.04,0.3,0.2,3,"[33,66]","[33,66]",0.1866,1208,30.5992141793999,0.0126,1,25.0,75.0,14.55563408711798
101,500,1,0.04,0.3,0.2,3,"[33,66]","[33,66]",0.1938,1225,29.082811139045685,0.0124,1,25.0,175.0,20.424906822112316
101,500,1,0.04,0.4,0.2,3,"[33,66]","[33,66]",0.1981,1223,28.176400019943326,0.0146,1,25.0,175.0,25.02327120019824
101,500,1,0.04,0.4,0.2,3,"[33,66]","[33,66]",0.1906,1243,29.786098641309856,0.0127,1,25.0,75.0,13.320419848587834
101,500,1,0.04,0.4,0.2,3,"[33,66]","[33,66]",0.1929,1227,29.256061442981306,0.0133,1,25.0,75.0,16.12211080758825
101,500,1,0.04,0.5,0.2,3,"[33,66]","[33,66]",0.1938,1257,29.10003493020095,0.0153,1,25.0,100.0,19.81317701609397
101,500,1,0.04,0.5,0.2,3,"[33,66]","[33,66]",0.1903,1197,29.823866294432854,0.0141,1,25.0,125.0,19.28658389500589
101,500,1,0.04,0.5,0.2,3,"[33,66]","[33,66]",0.1902,1207,29.869781672482397,0.0142,1,25.0,150.0,24.282980895739314
101,500,1,0.04,0.6,0.2,3,"[33,66]","[33,66]",0.1917,1214,29.493977059198905,0.017,1,25.0,175.0,31.395660528168538
101,500,1,0.04,0.6,0.2,3,"[33,66]","[33,66]",0.1923,1194,29.328083300551235,0.0174,1,25.0,125.0,24.912846812051743
101,500,1,0.04,0.6,0.2,3,"[33,66]","[33,66]",0.1956,1223,28.647648257750834,0.0156,1,25.0,125.0,22.06721691883433
101,500,1,0.04,0.7,0.2,3,"[33,66]","[33,66]",0.1965,1248,28.520804572523637,0.0177,1,25.0,225.0,30.298123029836407
101,500,1,0.04,0.7,0.2,3,"[33,66]","[33,66]",0.1988,1230,28.02664327103226,0.0187,1,25.0,175.0,33.38112582387326
101,500,1,0.04,0.7,0.2,3,"[33,66]","[33,66]",0.1919,1223,29.45629398200913,0.0197,2,50.0,250.0,37.47854988915582
101,500,1,0.04,0.8,0.2,3,"[33,66]","[33,66]",0.1939,1245,29.103053272320068,0.02,1,25.0,300.0,39.760311278222865
101,500,1,0.04,0.8,0.2,3,"[33,66]","[33,66]",0.1936,1219,29.12020891468311,0.0177,1,25.0,125.0,26.639123968287137
101,500,1,0.04,0.8,0.2,3,"[33,66]","[33,66]",0.1956,1210,28.746741946293998,0.0214,1,50.0,175.0,38.67271161434514
101,500,1,0.04,0.9,0.2,3,"[33,66]","[33,66]",0.194,1233,29.09276632057114,0.0212,1,25.0,275.0,44.08442942751125
101,500,1,0.04,0.9,0.2,3,"[33,66]","[33,66]",0.1945,1247,28.93529307522733,0.0238,1,50.0,300.0,51.57377611664325
101,500,1,0.04,0.9,0.2,3,"[33,66]","[33,66]",0.1872,1193,30.412563440778328,0.0224,2,50.0,275.0,42.756789190895155
101,500,1,0.04,1,0.2,3,"[33,66]","[33,66]",0.1887,1190,30.111108657171027,0.0269,2,50.0,375.0,62.424502651876224
101,500,1,0.04,1,0.2,3,"[33,66]","[33,66]",0.1895,1179,30.0192039477156,0.0299,1,62.5,275.0,52.09991085659262
101,500,1,0.04,1,0.2,3,"[33,66]","[33,66]",0.1923,1227,29.430318763522312,0.0225,2,25.0,275.0,47.83118220932569
101,500,1,0.0004,0.3,0.3,3,"[33,66]","[33,66]",0.2907,1296,13.04883423604809,0.0004,1,100.0,100.0,0.0
101,500,1,0.0004,0.3,0.3,3,"[33,66]","[33,66]",0.288,1286,13.299785265357356,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.3,3,"[33,66]","[33,66]",0.2956,1312,12.453138731876612,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.3,3,"[33,66]","[33,66]",0.2893,1310,13.23137414668678,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.4,0.3,3,"[33,66]","[33,66]",0.2892,1322,13.285771210546415,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.3,3,"[33,66]","[33,66]",0.2824,1292,14.148989480004792,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.3,3,"[33,66]","[33,66]",0.2932,1312,12.680493109839752,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.5,0.3,3,"[33,66]","[33,66]",0.2856,1322,13.675915889570934,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.3,3,"[33,66]","[33,66]",0.283,1345,14.03710539715427,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.6,0.3,3,"[33,66]","[33,66]",0.2885,1287,13.347800241812235,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.6,0.3,3,"[33,66]","[33,66]",0.2857,1298,13.714650699010678,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.3,3,"[33,66]","[33,66]",0.2951,1303,12.524198594104586,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,0.7,0.3,3,"[33,66]","[33,66]",0.2808,1309,14.348718464393063,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,0.7,0.3,3,"[33,66]","[33,66]",0.2883,1294,13.37020463439197,0.0008,1,200.0,200.0,0.0
