grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.002,1,0.1,3,[],[],0.105,855,51.57388481524494,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,1,0.1,3,[],[],0.1029,833,52.11963153601786,0.0012,1,50.0,100.0,25.495097567963924
101,500,1,0.002,1,0.1,3,[],[],0.099,815,53.399313514596344,0.0007,1,25.0,75.0,20.0
101,500,1,0.04,0.3,0.1,3,[],[],0.0993,823,53.31324654437568,0.0109,1,25.0,75.0,8.584142356694699
101,500,1,0.04,0.3,0.1,3,[],[],0.1022,828,52.468332475434345,0.0115,1,25.0,75.0,10.034316120194738
101,500,1,0.04,0.3,0.1,3,[],[],0.1001,799,53.06526137285813,0.0112,1,25.0,75.0,10.276257550189802
101,500,1,0.04,0.4,0.1,3,[],[],0.0963,791,54.22491211450693,0.0124,1,25.0,125.0,17.18284027743958
101,500,1,0.04,0.4,0.1,3,[],[],0.1045,832,51.74476186348329,0.0124,1,25.0,125.0,18.557687223952257
101,500,1,0.04,0.4,0.1,3,[],[],0.1047,848,51.65778214238852,0.0123,1,25.0,100.0,15.31894029101323
101,500,1,0.04,0.5,0.1,3,[],[],0.0999,833,53.040130970433594,0.0119,1,25.0,100.0,14.014582753042028
101,500,1,0.04,0.5,0.1,3,[],[],0.0953,781,54.66651231820602,0.0125,1,25.0,75.0,13.575553664160484
101,500,1,0.04,0.5,0.1,3,[],[],0.1007,812,52.8508773190548,0.0118,1,25.0,100.0,12.333083946479537
101,500,1,0.04,0.6,0.1,3,[],[],0.1019,822,52.554426755901005,0.0134,1,25.0,125.0,18.138684119367586
101,500,1,0.04,0.6,0.1,3,[],[],0.1018,832,52.55360210796189,0.0135,1,25.0,100.0,17.492138360450255
101,500,1,0.04,0.6,0.1,3,[],[],0.0986,824,53.56706264705515,0.0124,1,25.0,125.0,15.092921999431828
101,500,1,0.04,0.7,0.1,3,[],[],0.1014,826,52.67039371407577,0.013,1,25.0,150.0,21.204182298281996
101,500,1,0.04,0.7,0.1,3,[],[],0.0976,809,53.850668248394506,0.0126,1,25.0,125.0,15.779581634167554
101,500,1,0.04,0.7,0.1,3,[],[],0.0934,764,55.22529140081597,0.0133,1,25.0,125.0,17.619804662364146
