grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines
101,500,1,0.0004,0.6,0.3,3,[50],[50]
101,500,1,0.0004,0.7,0.3,3,[50],[50]
101,500,1,0.0004,0.8,0.3,3,[50],[50]
101,500,1,0.0004,0.9,0.3,3,[50],[50]
101,500,1,0.0004,1,0.3,3,[50],[50]
101,500,1,0.002,0.3,0.3,3,[50],[50]
101,500,1,0.002,0.4,0.3,3,[50],[50]
101,500,1,0.002,0.5,0.3,3,[50],[50]
101,500,1,0.002,0.6,0.3,3,[50],[50]
101,500,1,0.002,0.7,0.3,3,[50],[50]
101,500,1,0.002,0.8,0.3,3,[50],[50]
101,500,1,0.002,0.9,0.3,3,[50],[50]
101,500,1,0.002,1,0.3,3,[50],[50]
101,500,1,0.04,0.3,0.3,3,[50],[50]
101,500,1,0.04,0.4,0.3,3,[50],[50]
101,500,1,0.04,0.5,0.3,3,[50],[50]
101,500,1,0.04,0.6,0.3,3,[50],[50]
101,500,1,0.04,0.7,0.3,3,[50],[50]
101,500,1,0.04,0.8,0.3,3,[50],[50]
101,500,1,0.04,0.9,0.3,3,[50],[50]
101,500,1,0.04,1,0.3,3,[50],[50]
101,500,1,0.0004,0.3,0.4,3,[50],[50]
101,500,1,0.0004,0.4,0.4,3,[50],[50]
101,500,1,0.0004,0.5,0.4,3,[50],[50]
101,500,1,0.0004,0.6,0.4,3,[50],[50]
101,500,1,0.0004,0.7,0.4,3,[50],[50]
101,500,1,0.0004,0.8,0.4,3,[50],[50]
101,500,1,0.0004,0.9,0.4,3,[50],[50]
101,500,1,0.0004,1,0.4,3,[50],[50]
101,500,1,0.002,0.3,0.4,3,[50],[50]
101,500,1,0.002,0.4,0.4,3,[50],[50]
101,500,1,0.002,0.5,0.4,3,[50],[50]
101,500,1,0.002,0.6,0.4,3,[50],[50]
101,500,1,0.002,0.7,0.4,3,[50],[50]
101,500,1,0.002,0.8,0.4,3,[50],[50]
101,500,1,0.002,0.9,0.4,3,[50],[50]
101,500,1,0.002,1,0.4,3,[50],[50]
101,500,1,0.04,0.3,0.4,3,[50],[50]
101,500,1,0.04,0.4,0.4,3,[50],[50]
101,500,1,0.04,0.5,0.4,3,[50],[50]
101,500,1,0.04,0.6,0.4,3,[50],[50]
101,500,1,0.04,0.7,0.4,3,[50],[50]
101,500,1,0.04,0.8,0.4,3,[50],[50]
101,500,1,0.04,0.9,0.4,3,[50],[50]
101,500,1,0.04,1,0.4,3,[50],[50]
101,500,1,0.0004,0.3,0.5,3,[50],[50]
101,500,1,0.0004,0.4,0.5,3,[50],[50]
101,500,1,0.0004,0.5,0.5,3,[50],[50]
101,500,1,0.0004,0.6,0.5,3,[50],[50]
101,500,1,0.0004,0.7,0.5,3,[50],[50]
101,500,1,0.0004,0.8,0.5,3,[50],[50]
101,500,1,0.0004,0.9,0.5,3,[50],[50]
101,500,1,0.0004,1,0.5,3,[50],[50]
101,500,1,0.002,0.3,0.5,3,[50],[50]
101,500,1,0.002,0.4,0.5,3,[50],[50]
101,500,1,0.002,0.5,0.5,3,[50],[50]
101,500,1,0.002,0.6,0.5,3,[50],[50]
101,500,1,0.002,0.7,0.5,3,[50],[50]
101,500,1,0.002,0.8,0.5,3,[50],[50]
101,500,1,0.002,0.9,0.5,3,[50],[50]
101,500,1,0.002,1,0.5,3,[50],[50]
101,500,1,0.04,0.3,0.5,3,[50],[50]
101,500,1,0.04,0.4,0.5,3,[50],[50]
101,500,1,0.04,0.5,0.5,3,[50],[50]
101,500,1,0.04,0.6,0.5,3,[50],[50]
101,500,1,0.04,0.7,0.5,3,[50],[50]
101,500,1,0.04,0.8,0.5,3,[50],[50]
101,500,1,0.04,0.9,0.5,3,[50],[50]
101,500,1,0.04,1,0.5,3,[50],[50]
101,500,1,0.0004,0.3,0.55,3,[50],[50]
101,500,1,0.0004,0.4,0.55,3,[50],[50]
101,500,1,0.0004,0.5,0.55,3,[50],[50]
101,500,1,0.0004,0.6,0.55,3,[50],[50]
101,500,1,0.0004,0.7,0.55,3,[50],[50]
101,500,1,0.0004,0.8,0.55,3,[50],[50]
101,500,1,0.0004,0.9,0.55,3,[50],[50]
101,500,1,0.0004,1,0.55,3,[50],[50]
101,500,1,0.002,0.3,0.55,3,[50],[50]
101,500,1,0.002,0.4,0.55,3,[50],[50]
101,500,1,0.002,0.5,0.55,3,[50],[50]
101,500,1,0.002,0.6,0.55,3,[50],[50]
101,500,1,0.002,0.7,0.55,3,[50],[50]
101,500,1,0.002,0.8,0.55,3,[50],[50]
101,500,1,0.002,0.9,0.55,3,[50],[50]
101,500,1,0.002,1,0.55,3,[50],[50]
101,500,1,0.04,0.3,0.55,3,[50],[50]
101,500,1,0.04,0.4,0.55,3,[50],[50]
101,500,1,0.04,0.5,0.55,3,[50],[50]
101,500,1,0.04,0.6,0.55,3,[50],[50]
101,500,1,0.04,0.7,0.55,3,[50],[50]
101,500,1,0.04,0.8,0.55,3,[50],[50]
101,500,1,0.04,0.9,0.55,3,[50],[50]
101,500,1,0.04,1,0.55,3,[50],[50]
101,500,1,0.0004,0.3,0.6,3,[50],[50]
101,500,1,0.0004,0.4,0.6,3,[50],[50]
101,500,1,0.0004,0.5,0.6,3,[50],[50]
101,500,1,0.0004,0.6,0.6,3,[50],[50]
101,500,1,0.0004,0.7,0.6,3,[50],[50]
101,500,1,0.0004,0.8,0.6,3,[50],[50]
101,500,1,0.0004,0.9,0.6,3,[50],[50]
101,500,1,0.0004,1,0.6,3,[50],[50]
101,500,1,0.002,0.3,0.6,3,[50],[50]
101,500,1,0.002,0.4,0.6,3,[50],[50]
101,500,1,0.002,0.5,0.6,3,[50],[50]
101,500,1,0.002,0.6,0.6,3,[50],[50]
101,500,1,0.002,0.7,0.6,3,[50],[50]
101,500,1,0.002,0.8,0.6,3,[50],[50]
101,500,1,0.002,0.9,0.6,3,[50],[50]
101,500,1,0.002,1,0.6,3,[50],[50]
101,500,1,0.04,0.3,0.6,3,[50],[50]
101,500,1,0.04,0.4,0.6,3,[50],[50]
101,500,1,0.04,0.5,0.6,3,[50],[50]
101,500,1,0.04,0.6,0.6,3,[50],[50]
101,500,1,0.04,0.7,0.6,3,[50],[50]
101,500,1,0.04,0.8,0.6,3,[50],[50]
101,500,1,0.04,0.9,0.6,3,[50],[50]
101,500,1,0.04,1,0.6,3,[50],[50]
101,500,1,0.0004,0.3,0.65,3,[50],[50]
101,500,1,0.0004,0.4,0.65,3,[50],[50]
101,500,1,0.0004,0.5,0.65,3,[50],[50]
101,500,1,0.0004,0.6,0.65,3,[50],[50]
101,500,1,0.0004,0.7,0.65,3,[50],[50]
101,500,1,0.0004,0.8,0.65,3,[50],[50]
101,500,1,0.0004,0.9,0.65,3,[50],[50]
101,500,1,0.0004,1,0.65,3,[50],[50]
101,500,1,0.002,0.3,0.65,3,[50],[50]
101,500,1,0.002,0.4,0.65,3,[50],[50]
101,500,1,0.002,0.5,0.65,3,[50],[50]
101,500,1,0.002,0.6,0.65,3,[50],[50]
101,500,1,0.002,0.7,0.65,3,[50],[50]
101,500,1,0.002,0.8,0.65,3,[50],[50]
101,500,1,0.002,0.9,0.65,3,[50],[50]
101,500,1,0.002,1,0.65,3,[50],[50]
101,500,1,0.04,0.3,0.65,3,[50],[50]
101,500,1,0.04,0.4,0.65,3,[50],[50]
101,500,1,0.04,0.5,0.65,3,[50],[50]
101,500,1,0.04,0.6,0.65,3,[50],[50]
101,500,1,0.04,0.7,0.65,3,[50],[50]
101,500,1,0.04,0.8,0.65,3,[50],[50]
101,500,1,0.04,0.9,0.65,3,[50],[50]
101,500,1,0.04,1,0.65,3,[50],[50]
101,500,1,0.0004,0.3,0.7,3,[50],[50]
101,500,1,0.0004,0.4,0.7,3,[50],[50]
101,500,1,0.0004,0.5,0.7,3,[50],[50]
101,500,1,0.0004,0.6,0.7,3,[50],[50]
101,500,1,0.0004,0.7,0.7,3,[50],[50]
101,500,1,0.0004,0.8,0.7,3,[50],[50]
101,500,1,0.0004,0.9,0.7,3,[50],[50]
101,500,1,0.0004,1,0.7,3,[50],[50]
101,500,1,0.002,0.3,0.7,3,[50],[50]
101,500,1,0.002,0.4,0.7,3,[50],[50]
101,500,1,0.002,0.5,0.7,3,[50],[50]
101,500,1,0.002,0.6,0.7,3,[50],[50]
101,500,1,0.002,0.7,0.7,3,[50],[50]
101,500,1,0.002,0.8,0.7,3,[50],[50]
101,500,1,0.002,0.9,0.7,3,[50],[50]
101,500,1,0.002,1,0.7,3,[50],[50]
101,500,1,0.04,0.3,0.7,3,[50],[50]
101,500,1,0.04,0.4,0.7,3,[50],[50]
101,500,1,0.04,0.5,0.7,3,[50],[50]
101,500,1,0.04,0.6,0.7,3,[50],[50]
101,500,1,0.04,0.7,0.7,3,[50],[50]
101,500,1,0.04,0.8,0.7,3,[50],[50]
101,500,1,0.04,0.9,0.7,3,[50],[50]
101,500,1,0.04,1,0.7,3,[50],[50]
101,500,1,0.0004,0.3,0.8,3,[50],[50]
101,500,1,0.0004,0.4,0.8,3,[50],[50]
101,500,1,0.0004,0.5,0.8,3,[50],[50]
101,500,1,0.0004,0.6,0.8,3,[50],[50]
101,500,1,0.0004,0.7,0.8,3,[50],[50]
101,500,1,0.0004,0.8,0.8,3,[50],[50]
101,500,1,0.0004,0.9,0.8,3,[50],[50]
101,500,1,0.0004,1,0.8,3,[50],[50]
101,500,1,0.002,0.3,0.8,3,[50],[50]
101,500,1,0.002,0.4,0.8,3,[50],[50]
101,500,1,0.002,0.5,0.8,3,[50],[50]
101,500,1,0.002,0.6,0.8,3,[50],[50]
101,500,1,0.002,0.7,0.8,3,[50],[50]
101,500,1,0.002,0.8,0.8,3,[50],[50]
101,500,1,0.002,0.9,0.8,3,[50],[50]
101,500,1,0.002,1,0.8,3,[50],[50]
101,500,1,0.04,0.3,0.8,3,[50],[50]
101,500,1,0.04,0.4,0.8,3,[50],[50]
101,500,1,0.04,0.5,0.8,3,[50],[50]
101,500,1,0.04,0.6,0.8,3,[50],[50]
101,500,1,0.04,0.7,0.8,3,[50],[50]
101,500,1,0.04,0.8,0.8,3,[50],[50]
101,500,1,0.04,0.9,0.8,3,[50],[50]
101,500,1,0.04,1,0.8,3,[50],[50]
101,500,1,0.0004,0.3,0.9,3,[50],[50]
101,500,1,0.0004,0.4,0.9,3,[50],[50]
101,500,1,0.0004,0.5,0.9,3,[50],[50]
101,500,1,0.0004,0.6,0.9,3,[50],[50]
101,500,1,0.0004,0.7,0.9,3,[50],[50]
101,500,1,0.0004,0.8,0.9,3,[50],[50]
101,500,1,0.0004,0.9,0.9,3,[50],[50]
101,500,1,0.0004,1,0.9,3,[50],[50]
101,500,1,0.002,0.3,0.9,3,[50],[50]
101,500,1,0.002,0.4,0.9,3,[50],[50]
101,500,1,0.002,0.5,0.9,3,[50],[50]
101,500,1,0.002,0.6,0.9,3,[50],[50]
101,500,1,0.002,0.7,0.9,3,[50],[50]
101,500,1,0.002,0.8,0.9,3,[50],[50]
101,500,1,0.002,0.9,0.9,3,[50],[50]
101,500,1,0.002,1,0.9,3,[50],[50]
101,500,1,0.04,0.3,0.9,3,[50],[50]
101,500,1,0.04,0.4,0.9,3,[50],[50]
101,500,1,0.04,0.5,0.9,3,[50],[50]
101,500,1,0.04,0.6,0.9,3,[50],[50]
101,500,1,0.04,0.7,0.9,3,[50],[50]
101,500,1,0.04,0.8,0.9,3,[50],[50]
101,500,1,0.04,0.9,0.9,3,[50],[50]
101,500,1,0.04,1,0.9,3,[50],[50]
101,500,1,0.0004,0.3,1,3,[50],[50]
101,500,1,0.0004,0.4,1,3,[50],[50]
101,500,1,0.0004,0.5,1,3,[50],[50]
101,500,1,0.0004,0.6,1,3,[50],[50]
101,500,1,0.0004,0.7,1,3,[50],[50]
101,500,1,0.0004,0.8,1,3,[50],[50]
101,500,1,0.0004,0.9,1,3,[50],[50]
101,500,1,0.0004,1,1,3,[50],[50]
101,500,1,0.002,0.3,1,3,[50],[50]
101,500,1,0.002,0.4,1,3,[50],[50]
101,500,1,0.002,0.5,1,3,[50],[50]
101,500,1,0.002,0.6,1,3,[50],[50]
101,500,1,0.002,0.7,1,3,[50],[50]
101,500,1,0.002,0.8,1,3,[50],[50]
101,500,1,0.002,0.9,1,3,[50],[50]
101,500,1,0.002,1,1,3,[50],[50]
101,500,1,0.04,0.3,1,3,[50],[50]
101,500,1,0.04,0.4,1,3,[50],[50]
101,500,1,0.04,0.5,1,3,[50],[50]
101,500,1,0.04,0.6,1,3,[50],[50]
101,500,1,0.04,0.7,1,3,[50],[50]
101,500,1,0.04,0.8,1,3,[50],[50]
101,500,1,0.04,0.9,1,3,[50],[50]
101,500,1,0.04,1,1,3,[50],[50]
